tradingsymbol Zerodha,name,exchange,tradingsymbol Yahoo
BDL,BHARAT DYNAMICS,NSE,BDL.NS
BEARDSELL,BEARDSELL,NSE,BEARDSELL.NS
BECTORFOOD,MRS BECTORS FOOD SPE,NSE,BECTORFOOD.NS
BEDMUTHA,BEDMUTHA INDUST,NSE,BEDMUTHA.NS
BEL,BHARAT ELECTRONICS,NSE,BEL.NS
BEML,BEML,NSE,BEML.NS
BEPL,BHANSALI ENG. POLYMERS LT,NSE,BEPL.NS
BERGEPAINT,BERGER PAINTS (I),NSE,BERGEPAINT.NS
BESTAGRO,BEST AGROLIFE,NSE,BESTAGRO.NS
BFINVEST,BF INVESTMENT,NSE,BFINVEST.NS
BFUTILITIE,BF UTILITIES,NSE,BFUTILITIE.NS
BGLOBAL-BE,BHARATIYA GLOBAL INFO,NSE,BGLOBAL-BE.NS
BGRENERGY,BGR ENERGY SYSTEMS,NSE,BGRENERGY.NS
BHAGERIA,BHAGERIA INDUSTRIES,NSE,BHAGERIA.NS
BHAGYANGR,BHAGYANAGAR INDIA,NSE,BHAGYANGR.NS
BHAGYAPROP,BHAGYANAGAR PRO,NSE,BHAGYAPROP.NS
BHANDARI,BHANDARI HOSIERY EXP,NSE,BHANDARI.NS
BHARATFORG,BHARAT FORGE,NSE,BHARATFORG.NS
BHARATGEAR,BHARAT GEARS.,NSE,BHARATGEAR.NS
BHARATRAS,BHARAT RASAYAN,NSE,BHARATRAS.NS
BHARATWIRE-BE,BHARAT WIRE ROPES.,NSE,BHARATWIRE-BE.NS
BHARTIARTL,BHARTI AIRTEL,NSE,BHARTIARTL.NS
BHEL,BHEL,NSE,BHEL.NS
BIGBLOC,BIGBLOC CONSTRUCTION,NSE,BIGBLOC.NS
BIL,BHARTIYA INTERNATIONAL,NSE,BIL.NS
BINDALAGRO,OSWAL CHEM. & FERT..,NSE,BINDALAGRO.NS
BIOCON,BIOCON,NSE,BIOCON.NS
BIOFILCHEM,BIOFIL CHEM & PHARMA,NSE,BIOFILCHEM.NS
BIRLACABLE-BE,BIRLA CABLE,NSE,BIRLACABLE-BE.NS
BIRLACORPN,BIRLA CORPORATION,NSE,BIRLACORPN.NS
BIRLAMONEY,ADITYA BIRLA MONEY,NSE,BIRLAMONEY.NS
BIRLATYRE,BIRLA TYRES,NSE,BIRLATYRE.NS
BKMINDST-BE,BKM INDUSTRIES,NSE,BKMINDST-BE.NS
BLBLIMITED,BLB,NSE,BLBLIMITED.NS
BLISSGVS,BLISS GVS PHARMA,NSE,BLISSGVS.NS
BLKASHYAP,B.L.KASHYAP & SON,NSE,BLKASHYAP.NS
BLS,BLS INTL SERVS,NSE,BLS.NS
BLUECHIP-BE,BLUE CHIP INDIA,NSE,BLUECHIP-BE.NS
BLUECOAST-BE,BLUE COAST HOTELS,NSE,BLUECOAST.NS
BLUEDART,BLUE DART EXPRESS,NSE,BLUEDART.NS
BLUESTARCO,BLUE STAR,NSE,BLUESTARCO.NS
BODALCHEM,BODAL CHEMICALS,NSE,BODALCHEM.NS
BOMDYEING,BOMBAY DYEING & MFG. CO L,NSE,BOMDYEING.NS
BOROLTD,BOROSIL,NSE,BOROLTD.NS
BORORENEW-BE,BOROSIL RENEWABLES,NSE,BORORENEW-BE.NS
BOSCHLTD,BOSCH,NSE,BOSCHLTD.NS
BPCL,BHARAT PETROLEUM CORP  LT,NSE,BPCL.NS
BPL,BPL,NSE,BPL.NS
BRFL-BE,BOMBAY RAYON FASHIONS,NSE,BRFL-BE.NS
BRIGADE,BRIGADE ENTER.,NSE,BRIGADE.NS
BRITANNIA,BRITANNIA INDUSTRIES,NSE,BRITANNIA.NS
BRNL,BHARAT ROAD NETWORK,NSE,BRNL.NS
BROOKS,BROOKS LAB,NSE,BROOKS.NS
BSE,BSE,NSE,BSE.NS
BSHSL-BE,BOMBAY SUPER HYBRID SEEDS,NSE,BSHSL-BE.NS
BSL,BSL,NSE,BSL.NS
BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,NSE,BSLGOLDETF.NS
BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,NSE,BSLNIFTY.NS
BSOFT,BIRLASOFT,NSE,BSOFT.NS
BURGERKING,BURGER KING INDIA,NSE,BURGERKING.NS
BURNPUR-BE,BURNPUR CEMENT.,NSE,BURNPUR-BE.NS
BUTTERFLY-BE,BTRFLY GANDHI APPL,NSE,BUTTERFLY-BE.NS
BVCL-BE,BARAK VALLEY CEM..,NSE,BVCL-BE.NS
BYKE,THE BYKE HOSPITALITY,NSE,BYKE.NS
CADILAHC,CADILA HEALTHCARE,NSE,CADILAHC.NS
CALSOFT-BE,CALIFORNIA SOFTWARE CO LT,NSE,CALSOFT-BE.NS
CAMLINFINE,CAMLIN FINE SCIENCES,NSE,CAMLINFINE.NS
CAMS,COMPUTER AGE MNGT SER,NSE,CAMS.NS
CANBK,CANARA BANK,NSE,CANBK.NS
CANFINHOME,CAN FIN HOMES,NSE,CANFINHOME.NS
CANTABIL,CANTABIL RETAIL,NSE,CANTABIL.NS
CAPACITE,CAPACITE INFRAPROJECT,NSE,CAPACITE.NS
CAPLIPOINT,CAPLIN POINT LAB.,NSE,CAPLIPOINT.NS
CAPTRUST,CAPITAL TRUST,NSE,CAPTRUST.NS
CARBORUNIV,CARBORUNDUM UNIVERSAL,NSE,CARBORUNIV.NS
CAREERP,CAREER POINT,NSE,CAREERP.NS
CARERATING,CARE RATINGS,NSE,CARERATING.NS
CARTRADE,CARTRADE TECH,NSE,CARTRADE.NS
CASTROLIND,CASTROL INDIA,NSE,CASTROLIND.NS
CCCL-BE,CONS. CONST. CONSORT,NSE,CCCL-BE.NS
CCHHL-BE,COUNTRY CLUB HOSP HOL,NSE,CCHHL-BE.NS
CCL,CCL PRODUCTS (I),NSE,CCL.NS
CDSL-BE,CENTRAL DEPO SER (I),NSE,CDSL-BE.NS
CEATLTD,CEAT,NSE,CEATLTD.NS
CEBBCO-BE,COMMERCIAL ENG & CO.,NSE,CEBBCO-BE.NS
CELEBRITY,CELEBRITY FASHIONS,NSE,CELEBRITY.NS
CENTENKA,CENTURY ENKA,NSE,CENTENKA.NS
CENTEXT,CENTURY EXTRUSIONS,NSE,CENTEXT.NS
CENTRALBK,CENTRAL BANK OF INDIA,NSE,CENTRALBK.NS
CENTRUM,CENTRUM CAPITAL,NSE,CENTRUM.NS
CENTUM,CENTUM ELECTRONICS,NSE,CENTUM.NS
CENTURYPLY,CENTURY PLYBOARDS (I),NSE,CENTURYPLY.NS
CENTURYTEX,CENTURY TEXTILES,NSE,CENTURYTEX.NS
CERA,CERA SANITARYWARE,NSE,CERA.NS
CEREBRAINT,CEREBRA INT TECH,NSE,CEREBRAINT.NS
CESC,CESC,NSE,CESC.NS
CGCL,CAPRI GLOBAL CAPITAL,NSE,CGCL.NS
CGPOWER-BE,CG POWER AND IND SOL,NSE,CGPOWER-BE.NS
CHALET,CHALET HOTELS,NSE,CHALET.NS
CHAMBLFERT,CHAMBAL FERTILIZERS,NSE,CHAMBLFERT.NS
CHEMBOND,CHEMBOND CHEMICALS,NSE,CHEMBOND.NS
CHEMCON,CHEMCON SPECIAL CHEM,NSE,CHEMCON.NS
CHEMFAB,CHEMFAB ALKALIS,NSE,CHEMFAB.NS
CHEMPLASTS,CHEMPLAST SANMAR,NSE,CHEMPLASTS.NS
CHENNPETRO,CHENNAI PETROLEUM CORP LT,NSE,CHENNPETRO.NS
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,NSE,CHOLAFIN.NS
CHOLAHLDNG,CHOLAMANDALAM FIN HOL,NSE,CHOLAHLDNG.NS
CIGNITITEC,CIGNITI TECHNOLOGIES,NSE,CIGNITITEC.NS
CINELINE-BE,CINELINE INDIA,NSE,CINELINE-BE.NS
CINEVISTA-BE,CINEVISTA,NSE,CINEVISTA-BE.NS
CIPLA,CIPLA,NSE,CIPLA.NS
CLEAN,CLEAN SCIENCE & TECH,NSE,CLEAN.NS
CLEDUCATE,CL EDUCATE,NSE,CLEDUCATE.NS
CLNINDIA,CLARIANT CHEMICALS (INDIA,NSE,CLNINDIA.NS
CLSEL,CHAMAN LAL SETIA EXP,NSE,CLSEL.NS
CMICABLES,CMI,NSE,CMICABLES.NS
COALINDIA,COAL INDIA,NSE,COALINDIA.NS
COCHINSHIP,COCHIN SHIPYARD,NSE,COCHINSHIP.NS
COFFEEDAY,COFFEE DAY ENTERPRISE,NSE,COFFEEDAY.NS
COFORGE,COFORGE,NSE,COFORGE.NS
COLPAL,COLGATE PALMOLIVE.,NSE,COLPAL.NS
COMPINFO,COMPUAGE INFOCOM,NSE,COMPINFO.NS
COMPUSOFT,COMPUCOM SOFTWARE,NSE,COMPUSOFT.NS
CONCOR,CONTAINER CORP OF IND,NSE,CONCOR.NS
CONFIPET,CONFIDENCE PETRO IND.,NSE,CONFIPET.NS
CONSOFINVT,CONSO. FIN. & HOLD..,NSE,CONSOFINVT.NS
CONTROLPR,CONTROL PRINT,NSE,CONTROLPR.NS
CORALFINAC,CORAL INDIA FIN & HOUS LT,NSE,CORALFINAC.NS
