tradingsymbol Zerodha,name,exchange,tradingsymbol Yahoo
ORCHPHARMA-BE,ORCHID PHARMA,NSE,ORCHPHARMA-BE.NS
ORICONENT,ORICON ENTERPRISES,NSE,ORICONENT.NS
ORIENTABRA,ORIENT ABRASIVE,NSE,ORIENTABRA.NS
ORIENTALTL,ORIENTAL TRIMEX,NSE,ORIENTALTL.NS
ORIENTBELL,ORIENT BELL,NSE,ORIENTBELL.NS
ORIENTCEM,ORIENT CEMENT.,NSE,ORIENTCEM.NS
ORIENTELEC,ORIENT ELECTRIC,NSE,ORIENTELEC.NS
ORIENTHOT,ORIENT HOTELS,NSE,ORIENTHOT.NS
ORIENTLTD,ORIENT PRESS,NSE,ORIENTLTD.NS
ORIENTPPR,ORIENT PAPER AND INDS,NSE,ORIENTPPR.NS
ORISSAMINE,ORISSA MIN DEV CO,NSE,ORISSAMINE.NS
ORTINLAB,ORTIN LABORATORIES,NSE,ORTINLAB.NS
OSWALAGRO,OSWAL AGRO MILLS,NSE,OSWALAGRO.NS
PAGEIND,PAGE INDUSTRIES,NSE,PAGEIND.NS
PAISALO,PAISALO DIGITAL,NSE,PAISALO.NS
PALASHSECU,PALASH SECURITIES,NSE,PALASHSECU.NS
PALREDTEC,PALRED TECHNOLOGIES,NSE,PALREDTEC.NS
PANACEABIO,PANACEA BIOTEC,NSE,PANACEABIO.NS
PANACHE-BE,PANACHE DIGILIFE,NSE,PANACHE-BE.NS
PANAMAPET,PANAMA PETROCHEM,NSE,PANAMAPET.NS
PARACABLES-BE,PARAMOUNT COMM,NSE,PARACABLES-BE.NS
PARAGMILK,PARAG MILK FOODS.,NSE,PARAGMILK.NS
PARSVNATH,PARSVNATH DEVELOPER,NSE,PARSVNATH.NS
PATELENG,PATEL ENGINEERING.,NSE,PATELENG.NS
PATINTLOG,PATEL INT. LOG.,NSE,PATINTLOG.NS
PATSPINLTD,PATSPIN INDIA,NSE,PATSPINLTD.NS
PBAINFRA-BE,PBA INFRASTRUCTURE.,NSE,PBAINFRA-BE.NS
PCJEWELLER,PC JEWELLER,NSE,PCJEWELLER.NS
PDMJEPAPER,PUDUMJEE PAPER PRO.,NSE,PDMJEPAPER.NS
PDPL-BE,PARENTERAL DRUGS,NSE,PDPL-BE.NS
PDSMFL,PDS MULTINATIONAL FAS,NSE,PDSMFL.NS
PEARLPOLY,PEARL POLYMERS,NSE,PEARLPOLY.NS
PEL,PIRAMAL ENTERPRISES,NSE,PEL.NS
PENIND,PENNAR INDUSTRIES,NSE,PENIND.NS
PENINLAND-BE,PENINSULA LAND,NSE,PENINLAND-BE.NS
PERSISTENT,PERSISTENT SYSTEMS,NSE,PERSISTENT.NS
PETRONET,PETRONET LNG,NSE,PETRONET.NS
PFC,POWER FIN CORP.,NSE,PFC.NS
PFIZER,PFIZER,NSE,PFIZER.NS
PFOCUS,PRIME FOCUS,NSE,PFOCUS.NS
PFS,PTC INDIA FIN SERV,NSE,PFS.NS
PGEL,PG ELECTROPLAST,NSE,PGEL.NS
PGHH,P&G HYGIENE & HEALTH CARE,NSE,PGHH.NS
PGHL,PROCTER & GAMBLE HEALTH L,NSE,PGHL.NS
PGIL,PEARL GLOBAL IND,NSE,PGIL.NS
PHILIPCARB,PHILIPS CARBON BLACK,NSE,PHILIPCARB.NS
PHOENIXLTD,THE PHOENIX MILLS,NSE,PHOENIXLTD.NS
PIDILITIND,PIDILITE INDUSTRIES,NSE,PIDILITIND.NS
PIIND,PI INDUSTRIES,NSE,PIIND.NS
PILANIINVS,PILANI INV & IND COR,NSE,PILANIINVS.NS
PILITA,PIL ITALICA LIFESTYLE,NSE,PILITA.NS
PIONDIST,PIONEER DIST,NSE,PIONDIST.NS
PIONEEREMB,PIONEER EMBROIDERIES,NSE,PIONEEREMB.NS
PITTIENG,PITTI ENGINEERING,NSE,PITTIENG.NS
PKTEA-BE,THE P K TEA PROD CO,NSE,PKTEA-BE.NS
PLASTIBLEN,PLASTIBLENDS INDIA,NSE,PLASTIBLEN.NS
PNB,PUNJAB NATIONAL BANK,NSE,PNB.NS
PNBGILTS,PNB GILTS,NSE,PNBGILTS.NS
PNBHOUSING-BE,PNB HOUSING FIN.,NSE,PNBHOUSING-BE.NS
PNC,PRITISH NANDY COMMUNICATI,NSE,PNC.NS
PNCINFRA,PNC INFRATECH.,NSE,PNCINFRA.NS
PODDARHOUS,PODDAR HOUSE & DVPT,NSE,PODDARHOUS.NS
PODDARMENT,PODDAR PIGMENTS,NSE,PODDARMENT.NS
POKARNA,POKARNA,NSE,POKARNA.NS
POLYCAB,POLYCAB INDIA,NSE,POLYCAB.NS
POLYMED,POLY MEDICURE,NSE,POLYMED.NS
POLYPLEX,POLYPLEX CORPORATION,NSE,POLYPLEX.NS
PONNIERODE-BE,PONNIE SUGARS (ERODE),NSE,PONNIERODE-BE.NS
POONAWALLA-BE,POONAWALLA FINCORP,NSE,POONAWALLA-BE.NS
POWERGRID,POWER GRID CORP..,NSE,POWERGRID.NS
POWERINDIA,ABB POWER PRO N SYS IND L,NSE,POWERINDIA.NS
POWERMECH,POWER MECH PROJECTS.,NSE,POWERMECH.NS
PPAP,PPAP AUTOMOTIVE,NSE,PPAP.NS
PPL,PRAKASH PIPES,NSE,PPL.NS
PRADIP-BE,PRADIP OVERSEAS,NSE,PRADIP.NS
PRAENG-BE,PRAJAY ENG. SYN..,NSE,PRAENG-BE.NS
PRAJIND-BE,PRAJ INDUST.,NSE,PRAJIND-BE.NS
PRAKASH,PRAKASH INDUSTRIES,NSE,PRAKASH.NS
PRAKASHSTL,PRAKASH STEELAGE,NSE,PRAKASHSTL.NS
PRAXIS,PRAXIS HOME RETAIL,NSE,PRAXIS.NS
PRECAM,PRECISION CAMSHAFTS.,NSE,PRECAM.NS
PRECOT,PRECOT,NSE,PRECOT.NS
PRECWIRE,PRECISION WIRES INDIA,NSE,PRECWIRE.NS
PREMEXPLN-BE,PREMIER EXPLOSIVES,NSE,PREMEXPLN-BE.NS
PREMIER-BE,PREMIER,NSE,PREMIER-BE.NS
PREMIERPOL,PREMIER POLYFILM,NSE,PREMIERPOL.NS
PRESSMN,PRESSMAN ADVERTISING,NSE,PRESSMN.NS
PRESTIGE,PRESTIGE ESTATE,NSE,PRESTIGE.NS
PRICOLLTD,PRICOL,NSE,PRICOLLTD.NS
PRIMESECU,PRIME SECURITIES,NSE,PRIMESECU.NS
PRINCEPIPE,PRINCE PIPES FITTINGS,NSE,PRINCEPIPE.NS
PRITIKAUTO,PRITIKA AUTO INDUS,NSE,PRITIKAUTO.NS
PRIVISCL,PRIVI SPECIALITY CHE,NSE,PRIVISCL.NS
PROINDIA-BE,PROSEED INDIA,NSE,PROINDIA-BE.NS
PROZONINTU,PROZONE INTU PROPRTIS,NSE,PROZONINTU.NS
PRSMJOHNSN,PRISM JOHNSON,NSE,PRSMJOHNSN.NS
PSB,PUNJAB & SIND BANK,NSE,PSB.NS
PSPPROJECT,PSP PROJECTS,NSE,PSPPROJECT.NS
PSUBNKBEES,NIP IND ETF PSU BANK BEES,NSE,PSUBNKBEES.NS
PTC,PTC INDIA,NSE,PTC.NS
PTL,PTL ENTERPRISES,NSE,PTL.NS
PUNJABCHEM,PUNJAB CHEM & CROP PROT L,NSE,PUNJABCHEM.NS
PURVA,PURAVANKARA,NSE,PURVA.NS
PVP-BE,PVP VENTURES,NSE,PVP-BE.NS
PVR,PVR,NSE,PVR.NS
QGOLDHALF,QUANTUM GOLD FUND,NSE,QGOLDHALF.NS
QUESS,QUESS CORP,NSE,QUESS.NS
QUICKHEAL,QUICK HEAL TECH,NSE,QUICKHEAL.NS
QUINTEGRA-BE,QUINTEGRA SOLUTIONS.,NSE,QUINTEGRA-BE.NS
RADAAN-BE,RADAAN MEDIAWORKS (I),NSE,RADAAN-BE.NS
RADICO,RADICO KHAITAN,NSE,RADICO.NS
RADIOCITY,MUSIC BROADCAST,NSE,RADIOCITY.NS
RAILTEL,RAILTEL CORP OF IND,NSE,RAILTEL.NS
RAIN,RAIN INDUSTRIES,NSE,RAIN.NS
RAJESHEXPO,RAJESH EXPORTS,NSE,RAJESHEXPO.NS
RAJMET-BE,RAJNANDINI METAL,NSE,RAJMET-BE.NS
RAJRATAN-BE,RAJRATAN GLOBAL WIRE,NSE,RAJRATAN-BE.NS
RAJSREESUG,RAJSHREE SUGAR & CHEMICAL,NSE,RAJSREESUG.NS
RAJTV-BE,RAJ TV NETWORK,NSE,RAJTV-BE.NS
RAJVIR-BE,RAJVIR INDUSTRIES,NSE,RAJVIR-BE.NS
RALLIS,RALLIS INDIA,NSE,RALLIS.NS
RAMANEWS,SHREE RAMA NEWSPRINT,NSE,RAMANEWS.NS
RAMASTEEL-BE,RAMA STEEL TUBES,NSE,RAMASTEEL-BE.NS
RAMCOCEM,THE RAMCO CEMENTS,NSE,RAMCOCEM.NS
RAMCOIND,RAMCO INDUSTRIES,NSE,RAMCOIND.NS
RAMCOSYS,RAMCO SYSTEMS.,NSE,RAMCOSYS.NS
RAMKY-BE,RAMKY INFRA,NSE,RAMKY-BE.NS
RANASUG-BE,RANA SUGARS.,NSE,RANASUG-BE.NS
RANEENGINE,RANE ENG VALVE,NSE,RANEENGINE.NS
RANEHOLDIN,RANE HOLDINGS,NSE,RANEHOLDIN.NS
RATNAMANI,RATNAMANI MET & TUB.,NSE,RATNAMANI.NS
RAYMOND,RAYMOND,NSE,RAYMOND.NS
RBL,RANE BRAKE LINING,NSE,RBL.NS
RBLBANK,RBL BANK,NSE,RBLBANK.NS
RCF,RASHTRIYA CHEMICALS & FER,NSE,RCF.NS
RCOM,RELIANCE COMMUNICATIONS L,NSE,RCOM.NS
RECLTD,REC,NSE,RECLTD.NS
REDINGTON,REDINGTON (INDIA).,NSE,REDINGTON.NS
REFEX,REFEX INDUSTRIES,NSE,REFEX.NS
REGENCERAM-BE,REGENCYCERAMICS-LTD,NSE,REGENCERAM-BE.NS
RELAXO,RELAXO FOOT.,NSE,RELAXO.NS
RELCAPITAL,RELIANCE CAPITAL,NSE,RELCAPITAL.NS
RELIANCE,RELIANCE INDUSTRIES,NSE,RELIANCE.NS
RELIGARE,RELIGARE ENTER..,NSE,RELIGARE.NS
RELINFRA-BE,RELIANCE INFRASTRUCTU,NSE,RELINFRA-BE.NS
REMSONSIND-BE,REMSONS INDUSTRIES,NSE,REMSONSIND-BE.NS
RENUKA-BE,SHREE RENUKA SUGARS,NSE,RENUKA-BE.NS
REPCOHOME,REPCO HOME FINANCE,NSE,REPCOHOME.NS
REPL,RUDRABHISHEK ENTERP,NSE,REPL.NS
REPRO,REPRO INDIA,NSE,REPRO.NS
RESPONIND,RESPONSIVE INDUSTRIES,NSE,RESPONIND.NS
REVATHI,REVATHI EQUIPMENT,NSE,REVATHI.NS
RGL,RENAISSANCE GLOBAL,NSE,RGL.NS
RHFL-BE,RELIANCE HOME FINANCE,NSE,RHFL-BE.NS
RHIM,RHI MAGNESITA INDIA,NSE,RHIM.NS
RICOAUTO,RICO AUTO INDUSTRIES,NSE,RICOAUTO.NS
RIIL,RELIANCE INDUSTRIAL INFRA,NSE,RIIL.NS
RITES,RITES,NSE,RITES.NS
RKDL-BE,RAVI KUMAR DIST..,NSE,RKDL-BE.NS
RKEC,RKEC PROJECTS,NSE,RKEC.NS
RKFORGE,RAMKRISHNA FORGINGS,NSE,RKFORGE.NS
RML,RANE (MADRAS),NSE,RML.NS
ROHITFERRO-BE,ROHIT FERRO-TECH,NSE,ROHITFERRO-BE.NS
ROHLTD,ROYAL ORCHID HOTELS,NSE,ROHLTD.NS
ROLEXRINGS,ROLEX RINGS,NSE,ROLEXRINGS.NS
ROLLT,ROLLATAINERS,NSE,ROLLT.NS
ROLTA-BE,ROLTA INDIA - DEP SETT,NSE,ROLTA-BE.NS
ROML,RAJ OIL MILLS,NSE,ROML.NS
ROSSARI,ROSSARI BIOTECH,NSE,ROSSARI.NS
ROSSELLIND,ROSSELL INDIA,NSE,ROSSELLIND.NS
ROUTE,ROUTE MOBILE,NSE,ROUTE.NS
RPGLIFE,RPG LIFE SCIENCES,NSE,RPGLIFE.NS
RPOWER-BE,RELIANCE POWER.,NSE,RPOWER-BE.NS
RPPINFRA,R.P.P INFRA PROJECTS,NSE,RPPINFRA.NS
RPSGVENT,RPSG VENTURES,NSE,RPSGVENT.NS
RSSOFTWARE,R. S. SOFTWARE (INDIA) LI,NSE,RSSOFTWARE.NS
RSWM,RSWM,NSE,RSWM.NS
RSYSTEMS,R SYS INTERNATIONAL,NSE,RSYSTEMS.NS
RTNINDIA-BE,RATTANINDIA ENT,NSE,RTNINDIA-BE.NS
RTNPOWER-BE,RATTANINDIA POWER,NSE,RTNPOWER-BE.NS
RUBYMILLS,THE RUBY MILLS,NSE,RUBYMILLS.NS
RUCHI,RUCHI SOYA INDUSTRIES,NSE,RUCHI.NS
RUCHINFRA-BE,RUCHI INFRASTRUCTURE,NSE,RUCHINFRA-BE.NS
RUCHIRA,RUCHIRA PAPERS,NSE,RUCHIRA.NS
RUPA,RUPA & COMPANY,NSE,RUPA.NS
RUSHIL,RUSHIL DECOR,NSE,RUSHIL.NS
RVHL,RAVINDER HEIGHTS,NSE,RVHL.NS
RVNL,RAIL VIKAS NIGAM,NSE,RVNL.NS
S&SPOWER-BE,S&S POWER SWITCHGEARS,NSE,S&SPOWER-BE.NS
SABEVENTS-BE,SAB EVENTS & GOVERNANCE,NSE,SABEVENTS-BE.NS
SABTN-BE,SRI ADHIKARI BROS.,NSE,SABTN-BE.NS
SADBHAV,SADBHAV ENGINEERING,NSE,SADBHAV.NS
SADBHIN,SADBHAV INFRA PROJ.,NSE,SADBHIN.NS
SAFARI,SAFARI IND (INDIA),NSE,SAFARI.NS
SAGARDEEP-BE,SAGARDEEP ALLOYS,NSE,SAGARDEEP-BE.NS
SAGCEM,SAGAR CEMENTS,NSE,SAGCEM.NS
SAIL,STEEL AUTHORITY OF INDIA,NSE,SAIL.NS
SAKAR,SAKAR HEALTHCARE,NSE,SAKAR.NS
SAKHTISUG-BE,SAKHTISUG SUGARS,NSE,SAKHTISUG-BE.NS
SAKSOFT,SAKSOFT,NSE,SAKSOFT.NS
SAKUMA-BE,SAKUMA EXPORTS,NSE,SAKUMA-BE.NS
SALASAR,SALASAR TECHNO ENGG..,NSE,SALASAR.NS
SALONA,SALONA COTSPIN.,NSE,SALONA.NS
SALSTEEL-BE,S.A.L. STEEL.,NSE,SALSTEEL-BE.NS
SALZERELEC,SALZER ELECTRONICS,NSE,SALZERELEC.NS
SAMBHAAV-BE,SAMBHAAV MEDIA,NSE,SAMBHAAV-BE.NS
SANCO,SANCO INDUSTRIES,NSE,SANCO.NS
SANDESH,SANDESH,NSE,SANDESH.NS
SANDHAR,SANDHAR TECHNOLOGIES,NSE,SANDHAR.NS
SANGAMIND,SANGAM (INDIA),NSE,SANGAMIND.NS
SANGHIIND,SANGHI INDUSTRIES,NSE,SANGHIIND.NS
SANGHVIMOV,SANGHVI MOVERS,NSE,SANGHVIMOV.NS
SANGINITA,SANGINITA CHEMICALS,NSE,SANGINITA.NS
SANOFI,SANOFI INDIA,NSE,SANOFI.NS
SARDAEN-BE,SARDA ENERGY & MIN,NSE,SARDAEN-BE.NS
SAREGAMA-BE,SAREGAMA INDIA,NSE,SAREGAMA-BE.NS
SARLAPOLY,SARLA PERF. FIBERS,NSE,SARLAPOLY.NS
SASKEN,SASKEN TECHNOLOGIES,NSE,SASKEN.NS
SASTASUNDR-BE,SASTASUNDAR VENTURES,NSE,SASTASUNDR-BE.NS
SATHAISPAT-BE,SATHAVAHANA ISPAT,NSE,SATHAISPAT-BE.NS
SATIA,SATIA INDUSTRIES,NSE,SATIA.NS
SATIN,SATIN CREDIT NET,NSE,SATIN.NS
SBCL,SHIVALIK BIMETAL CON.,NSE,SBCL.NS
SBICARD,SBI CARDS & PAY SER,NSE,SBICARD.NS
SBIETFCON,SBIAMC - SBIETFCON,NSE,SBIETFCON.NS
SBIETFIT,SBIAMC - SBIETFIT,NSE,SBIETFIT.NS
SBIETFPB,SBIAMC - SBIETFPB,NSE,SBIETFPB.NS
SBIETFQLTY,SBIAMC - SBIETFQLTY,NSE,SBIETFQLTY.NS
SBILIFE,SBI LIFE INSURANCE CO,NSE,SBILIFE.NS
SBIN,STATE BANK OF INDIA,NSE,SBIN.NS
SCAPDVR-BE,STAMPEDE CAPITAL,NSE,SCAPDVR-BE.NS
SCHAEFFLER,SCHAEFFLER INDIA,NSE,SCHAEFFLER.NS
SCHAND,S CHAND AND COMPANY,NSE,SCHAND.NS
SCHNEIDER,SCHNEIDER ELECTRIC INFRA,NSE,SCHNEIDER.NS
SCI,SHIPPING CORP OF INDIA LT,NSE,SCI.NS
SDBL,SOM DIST & BREW,NSE,SDBL.NS
SEAMECLTD,SEAMEC,NSE,SEAMECLTD.NS
SECURKLOUD,SECUREKLOUD TECH,NSE,SECURKLOUD.NS
SELAN,SELAN EXPLO. TECH,NSE,SELAN.NS
SEPOWER,S.E. POWER,NSE,SEPOWER.NS
SEQUENT,SEQUENT SCIENTIFIC.,NSE,SEQUENT.NS
SESHAPAPER,SESHASAYEE PAPER & BOARDS,NSE,SESHAPAPER.NS
SETCO,SETCO AUTOMOTIVE,NSE,SETCO.NS
SETF10GILT,SBIAMC - SETF10GILT,NSE,SETF10GILT.NS
SETFGOLD,SBI-ETF GOLD,NSE,SETFGOLD.NS
SETUINFRA-BE,SETUBANDHAN INFRA,NSE,SETUINFRA-BE.NS
SEYAIND,SEYA INDUSTRIES,NSE,SEYAIND.NS
SFL,SHEELA FOAM,NSE,SFL.NS
SGIL,SYNERGY GREEN IND.,NSE,SGIL.NS
SGL,STL GLOBAL,NSE,SGL.NS
SHAHALLOYS-BE,SHAH ALLOYS,NSE,SHAHALLOYS-BE.NS
SHAKTIPUMP,SHAKTI PUMPS (I),NSE,SHAKTIPUMP.NS
SHALBY,SHALBY,NSE,SHALBY.NS
SHALPAINTS,SHALIM PAINTS,NSE,SHALPAINTS.NS
SHANKARA,SHANKARA BLDG PRODUCT,NSE,SHANKARA.NS
SHANTIGEAR,SHANTHI GEARS,NSE,SHANTIGEAR.NS
SHARDACROP,SHARDA CROPCHEM.,NSE,SHARDACROP.NS
SHARDAMOTR-BE,SHARDA MOTOR INDS,NSE,SHARDAMOTR-BE.NS
SHAREINDIA,SHARE IND. SECURITIES,NSE,SHAREINDIA.NS
SHARIABEES,NIP IND ETF SHARIAH BEES,NSE,SHARIABEES.NS
SHEMAROO,SHEMAROO ENTER..,NSE,SHEMAROO.NS
SHIL-BE,SOMANY HOM INNOVATION,NSE,SHIL-BE.NS
SHILPAMED,SHILPA MEDICARE,NSE,SHILPAMED.NS
SHIVAMAUTO,SHIVAM AUTO.LTD,NSE,SHIVAMAUTO.NS
SHIVAMILLS,SHIVA MILLS,NSE,SHIVAMILLS.NS
SHIVATEX,SHIVA TEXYARN,NSE,SHIVATEX.NS
SHK,S H KELKAR AND CO..,NSE,SHK.NS
SHOPERSTOP,SHOPPERS STOP,NSE,SHOPERSTOP.NS
SHRADHA,SHRADHA INFRAPROJECTS,NSE,SHRADHA.NS
SHREDIGCEM,SHREE DIGVIJAY CEM CO,NSE,SHREDIGCEM.NS
SHREECEM,SHREE CEMENT,NSE,SHREECEM.NS
SHREEPUSHK,SHRE PUSH CHEM & FERT,NSE,SHREEPUSHK.NS
SHREERAMA,SHREE RAMA MULTI TECH,NSE,SHREERAMA.NS
SHRENIK,SHRENIK,NSE,SHRENIK.NS
SHREYANIND,SHREYANS INDUSTRIES,NSE,SHREYANIND.NS
SHREYAS,SHREYAS SHIPPING & LOGIST,NSE,SHREYAS.NS
SHRIPISTON-BE,SHRIRAM PIST. & RING,NSE,SHRIPISTON-BE.NS
SHRIRAMCIT,SHRIRAM CITYUNI FIN.LTD.,NSE,SHRIRAMCIT.NS
SHRIRAMEPC,SHRIRAM EPC.,NSE,SHRIRAMEPC.NS
SHYAMCENT,SHYAM CENTURY FERROUS,NSE,SHYAMCENT.NS
SHYAMMETL,SHYAM METALICS AND ENGY L,NSE,SHYAMMETL.NS
SHYAMTEL-BE,SHYAM TELECOM,NSE,SHYAMTEL-BE.NS
SICAL,SICAL LOGISTICS,NSE,SICAL.NS
SIEMENS,SIEMENS,NSE,SIEMENS.NS
SIGIND,SIGNET INDUSTRIES,NSE,SIGIND.NS
SIL-BE,STANDARD INDUSTRIES.,NSE,SIL-BE.NS
SILGO,SILGO RETAIL,NSE,SILGO.NS
SILINV-BE,SIL INVESTMENTS,NSE,SILINV-BE.NS
SILLYMONKS,SILLY MONKS ENTERTAIN,NSE,SILLYMONKS.NS
SIMBHALS-BE,SIMBHAOLI SUGARS.,NSE,SIMBHALS-BE.NS
SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,NSE,SIMPLEXINF.NS
SINTERCOM,SINTERCOM INDIA,NSE,SINTERCOM.NS
SINTEX,SINTEX INDUSTRIES,NSE,SINTEX.NS
SIRCA,SIRCA PAINT INDIA,NSE,SIRCA.NS
SIS,SIS,NSE,SIS.NS
SITINET,SITI NETWORKS,NSE,SITINET.NS
SIYSIL,SIYARAM SILK MILLS,NSE,SIYSIL.NS
SJVN,SJVN,NSE,SJVN.NS
SKFINDIA,SKF INDIA,NSE,SKFINDIA.NS
SKIL,SKIL INFRASTRUCTURE.,NSE,SKIL.NS
SKIPPER,SKIPPER,NSE,SKIPPER.NS
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,NSE,SKMEGGPROD.NS
SMARTLINK,SMARTLINK HOLDINGS,NSE,SMARTLINK.NS
SMCGLOBAL,SMC GLOBAL SECURITIES,NSE,SMCGLOBAL.NS
SMLISUZU,SML ISUZU,NSE,SMLISUZU.NS
SMSLIFE,SMS LIFESCIENCES (I),NSE,SMSLIFE.NS
SMSPHARMA,SMS PHARMACEUTICALS.,NSE,SMSPHARMA.NS
SNOWMAN,SNOWMAN LOGISTICS.,NSE,SNOWMAN.NS
SOBHA,SOBHA,NSE,SOBHA.NS
SOLARA,SOLARA ACTIVE PHA SCI,NSE,SOLARA.NS
SOLARINDS,SOLAR INDUSTRIES (I),NSE,SOLARINDS.NS
SOMANYCERA-BE,SOMANY CERAMICS,NSE,SOMANYCERA-BE.NS
SOMATEX,SOMA TEXTILES & INDUST LT,NSE,SOMATEX.NS
SOMICONVEY,SOMI CONVEYOR BELT..,NSE,SOMICONVEY.NS
SONACOMS,SONA BLW PRECISION FRGS L,NSE,SONACOMS.NS
SONATSOFTW,SONATA SOFTWARE,NSE,SONATSOFTW.NS
SORILINFRA,SORIL INFRA RESOURCES,NSE,SORILINFRA.NS
SOTL,SAVITA OIL TECHNOLO.,NSE,SOTL.NS
SOUTHBANK,THE SOUTH INDIAN BANK,NSE,SOUTHBANK.NS
SOUTHWEST,SOUTH WEST PINNACLE,NSE,SOUTHWEST.NS
SPAL,S. P. APPARELS,NSE,SPAL.NS
SPANDANA,SPANDANA SPHOORTY FIN,NSE,SPANDANA.NS
SPARC,SUN PHARMA ADV.RES.CO.LTD,NSE,SPARC.NS
SPCENET-BE,SPACENET ENTERS IND,NSE,SPCENET-BE.NS
SPECIALITY,SPECIALITY REST,NSE,SPECIALITY.NS
SPENCERS,SPENCER'S RETAIL,NSE,SPENCERS.NS
SPIC,SPIC,NSE,SPIC.NS
SPICEJET,SPICEJET,NSE,SPICEJET.NS
SPLIL,SPL INDUSTRIES,NSE,SPLIL.NS
SPMLINFRA-BE,SPML INFRA,NSE,SPMLINFRA-BE.NS
SPTL,SINTEX PLASTICS TECH,NSE,SPTL.NS
SPYL-BE,SHEKHAWATI POLY-YARN.,NSE,SPYL-BE.NS
SREEL,SREELEATHERS,NSE,SREEL.NS
SREINFRA-BE,SREI INFRASTRUCTURE FINAN,NSE,SREINFRA-BE.NS
SRF,SRF,NSE,SRF.NS
SRHHYPOLTD,SREE RAYALSEEMA HHP.,NSE,SRHHYPOLTD.NS
SRIPIPES,SRIKALAHASTHI PIPES,NSE,SRIPIPES.NS
SRPL-BE,SHREE RAM PROTEINS.,NSE,SRPL-BE.NS
SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.,NSE,SRTRANSFIN.NS
SSWL,STEEL STRIPS WHEELS.,NSE,SSWL.NS
STAMPEDE-BE,STAMPEDE CAPITAL,NSE,STAMPEDE-BE.NS
STAR,STRIDES PHARMA SCI,NSE,STAR.NS
STARCEMENT,STAR CEMENT,NSE,STARCEMENT.NS
STARPAPER,STAR PAPER MILLS,NSE,STARPAPER.NS
STCINDIA,THE STATE TRADING CORPN,NSE,STCINDIA.NS
STEELCITY,STEEL CITY SECURITIES,NSE,STEELCITY.NS
STEELXIND,STEEL EXCHANGE INDIA,NSE,STEELXIND.NS
STEL,STEL HOLDINGS,NSE,STEL.NS
STERTOOLS,STERLING TOOLS,NSE,STERTOOLS.NS
STLTECH,STERLITE TECHNOLOGIES,NSE,STLTECH.NS
STOVEKRAFT,STOVE KRAFT,NSE,STOVEKRAFT.NS
STYLAMIND,STYLAM INDUSTRIES,NSE,STYLAMIND.NS
SUBCAPCITY-BE,INTERNATIONAL CONST,NSE,SUBCAPCITY-BE.NS
SUBEXLTD,SUBEX,NSE,SUBEXLTD.NS
SUBROS,SUBROS,NSE,SUBROS.NS
SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,NSE,SUDARSCHEM.NS
SUMEETINDS-BE,SUMEET IND,NSE,SUMEETINDS-BE.NS
SUMICHEM,SUMITOMO CHEM INDIA,NSE,SUMICHEM.NS
SUMIT-BE,SUMIT WOODS,NSE,SUMIT-BE.NS
SUMMITSEC,SUMMIT SECURITIES,NSE,SUMMITSEC.NS
SUNCLAYLTD,SUNDARAM CLAYTON,NSE,SUNCLAYLTD.NS
SUNDARAM-BE,SUNDARAM MULTI PAP,NSE,SUNDARAM-BE.NS
SUNDARMFIN,SUNDARAM FINANCE,NSE,SUNDARMFIN.NS
SUNDARMHLD,SUNDARAM FINANCE HOLD,NSE,SUNDARMHLD.NS
SUNDRMBRAK,SUNDARAM BRAK LININGS,NSE,SUNDRMBRAK.NS
SUNDRMFAST,SUNDRAM FASTENERS,NSE,SUNDRMFAST.NS
SUNFLAG,SUNFLAG IRON AND STEEL CO,NSE,SUNFLAG.NS
SUNPHARMA,SUN PHARMACEUTICAL IND L,NSE,SUNPHARMA.NS
SUNTECK,SUNTECK REALTY,NSE,SUNTECK.NS
SUNTV,SUN TV NETWORK,NSE,SUNTV.NS
SUPERHOUSE,SUPERHOUSE,NSE,SUPERHOUSE.NS
SUPERSPIN-BE,SUPER SPINNING MILLS,NSE,SUPERSPIN-BE.NS
SUPPETRO-BE,SUPREME PETROCHEMICALS LT,NSE,SUPPETRO-BE.NS
SUPRAJIT,SUPRAJIT ENGINEERING,NSE,SUPRAJIT.NS
SUPREMEENG,SUPREME ENGINEERING,NSE,SUPREMEENG.NS
SUPREMEIND,SUPREME INDUSTRIES,NSE,SUPREMEIND.NS
SURANASOL,SURANA SOLAR,NSE,SURANASOL.NS
SURANAT&P,SURANA TELECOM AND POW LT,NSE,SURANAT&P.NS
SURYALAXMI-BE,SURYALAKSHMI COT MIL,NSE,SURYALAXMI-BE.NS
SURYAROSNI,SURYA ROSHNI,NSE,SURYAROSNI.NS
SURYODAY,SURYODAY SMALL FIN BK,NSE,SURYODAY.NS
SUTLEJTEX,SUTLEJ TEXT & INDUS,NSE,SUTLEJTEX.NS
SUULD,SUUMAYA INDUSTRIES,NSE,SUULD.NS
SUVEN,SUVEN LIFE SCIENCES,NSE,SUVEN.NS
SUVENPHAR,SUVEN PHARMACEUTICALS,NSE,SUVENPHAR.NS
SUVIDHAA,SUVIDHAA INFOSERVE,NSE,SUVIDHAA.NS
SUZLON,SUZLON ENERGY,NSE,SUZLON.NS
